15 15
0   15  30   45    60   75   90   105   120   135   150   165   180   195   210
1   16  31   46    61   76   91   106   121   136   151   166   181   196   211
2   17  32   47    62   77   92   107   122   137   152   167   182   197   212
3   18  33   48    63   78   93   108   123   138   153   168   183   198   213
4   19  34   49    64   79   94   109   124   139   154   169   184   199   214
5   20  35   50    65   80   95   110   125   140   155   170   185   200   215
6   21  36   51    66   81   96   111   126   141   156   171   186   201   216
7   22  37   52    67   82   97   112   127   142   157   172   187   202   217
8   23  38   53    68   83   98   113   128   143   158   173   188   203   218
9   24  39   54    69   84   99   114   129   144   159   174   189   204   219
10  25  40   55    70   85   100  115   130   145   160   175   190   205   220
11  26  41   56    71   86   101  116   131   146   161   176   191   206   221
12  27  42   57    72   87   102  117   132   147   162   177   192   207   222
13  28  43   58    73   88   103  118   133   148   163   178   193   208   223
14  29  44   59    74   89   104  119   134   149   164   179   194   209   224
