N           Malloc          Memset          MemcpyHostToDevice          MemcpyDeviceToHost          Multiplicar         CublasCreate        Broadcast           CommCreate
1000        0.22            0.01            1.18                        4.93                        0.58                131.72              0.40                992.88       
2000        0.24            0.02            3.65                        18.94                       4.02                132.99              1.05                1020.74
3000        0.28            0.05            22.00                       43.00                       12.37               133.39              2.18                974.42
4000        0.29            0.08            21.51                       75.15                       27.50               131.28              3.78                1000.89     
5000        0.32            0.12            30.53                       129.41                      54.31               127.91              5.92                952.39   
6000        0.37            0.17            47.33                       184.97                      89.94               131.51              8.35                1015.90
7000        0.44            0.23            60.16                       228.50                      142.77              129.13              11.31               1050.86    
8000        0.53            0.29            82.24                       297.09                      211.35              131.32              14.76               1021.49
9000        0.59            0.37            100.84                      376.11                      302.54              130.60              18.74               1014.87
10000       0.80            0.46            126.01                      483.12                      415.39              130.58              23.16               979.93     
