N           Malloc          Memset          MemcpyHostToDevice          MemcpyDeviceToHost          Multiplicar         CublasCreate        Broadcast           CommCreate
1000        0.260787        0.010717        0.952416                    1.789400                    0.009206            192.233032          0.147296            571.168000
2000        0.276811        0.024456        3.717640                    18.951696                   0.007410            196.106033          0.118560            580.860000
3000        0.299637        0.046616        12.216328                   42.052734                   0.007324            196.281830          0.117184            574.371000
4000        0.321749        0.077875        21.411320                   74.089813                   0.006394            195.663498          0.102304            571.230000
5000        0.342248        0.118837        50.750290                   130.550186                  0.004315            221.682159          0.121792            697.290000
6000        0.368533        0.167168        48.153202                   166.527176                  0.006446            194.979904          0.103136            574.190000
7000        0.420208        0.225229        59.582603                   227.103012                  0.006446            193.954041          0.103136            570.449000
8000        0.480651        0.292840        83.317322                   299.481415                  0.006454            194.880142          0.103264            575.982000
9000        0.554144        0.370728        116.076080                  379.610962                  0.006588            196.519806          0.105408            578.064000
10000       0.965784        0.458315        125.466743                  492.055817                  0.006560            193.387024          0.104960            573.664000
