N           CPU_TAY_CONNORM         CPU_BER_CONNORM         GPU1_TAY_CONNORM        GPU1_BER_CONNORM        GPU4_TAY_CONNORM            GPU4_BER_CONNORM
1000        0.1393                  0.0870                  0.0785                  0.0862                  0.2257                      0.2138
2000        0.8868                  0.4893                  0.2494                  0.2332                  0.4964                      0.4771
3000        1.2924                  1.2748                  0.7000                  0.6716                  1.1515                      1.1284
4000        2.3301                  2.3119                  1.4123                  1.2419                  1.8092                      1.7266
5000        4.2297                  4.2617                  2.1198                  2.2403                  2.4943                      2.4156
6000        6.5751                  7.0189                  3.2832                  3.0002                  3.6054                      3..3524
7000        10.2422                 10.3794                 4.2153                  4.2257                  4.3915                      4.3689
8000        14.7993                 14.4188                 5.4498                  5.4690                  6.2274                      6.1131
9000        18.9252                 18.7734                 7.1499                  7.4169                  7.5291                      7.4442
10000       24.1511                 22.8729                 8.7844                  8.4414                  9.6361                      9.0757
11000       31.3357                 30.9669                 11.2454                 11.4129                 11.2480                     11.2873
12000       39.7811                 38.3090                 13.2252                 14.3762                 12.5153                     12.4984
13000       46.3906                 49.6922                 16.0153                 16.5585                 14.8595                     14.8710
14000       57.1096                 61.0056                 19.1144                 19.4371                 17.1517                     17.3876
