N               CPU_TAY             CPU_BER             GPU1_TAY            GPU1_BER            GPU4_TAY                GPU4_BER
1000            0.1440              0.1007              0.1600              0.0953              0.2650                  0.1971     
2000            0.8834              0.5244              0.2712              0.2938              0.5341                  0.4781
3000            1.3104              1.0360              0.6508              0.6392              1.0427                  1.0386
4000            2.4723              2.2321              1.2837              1.2110              1.5734                  1.7105
5000            4.1388              4.4371              2.3398              1.9072              2.5005                  2.5184
6000            6.4951              7.2386              3.2642              2.9690              3.2141                  3.4014 
7000            10.6492             10.3458             4.2096              3.8560              4.1643                  4.7029
8000            14.1298             15.4149             5.3266              5.1583              5.7477                  5.4998
9000            20.4939             18.0488             6.9490              6.9210              7.3247                  7.1259
10000           23.8201             25.4082             8.5724              9.0581              9.3199                  8.4906
11000           34.9394             31.5282             10.8387             10.5906             10.8659                 10.7121
12000           39.2473             39.3365             12.7519             12.7809             11.9174                 12.3666
13000           49.5166             45.6344             16.3595             16.3065             14.8475                 14.5574
14000           55.8003             54.1676             19.2046             19.3506             17.0005                 16.9690
