N               CPU_TAY             CPU_BER             GPU1_TAY            GPU1_BER            GPU4_TAY                GPU4_BER
1000            0.1467              0.1071              0.1914              0.1753              0.2357                  0.2356
2000            0.6094              1.5243              0.3575              0.3524              0.3898                  0.3687
3000            1.2346              1.2233              0.6445              0.6086              0.6411                  0.5941 
4000            1.9196              2.1624              0.9626              0.9626              0.9522                  0.8929
5000            4.1505              4.1845              1.4402              1.4082              1.3041                  1.2630
6000            6.3769              6.0702              1.9670              1.9446              1.6988                  1.6795
7000            9.5639              9.5065              2.6426              2.6879              2.2009                  2.3194
8000            13.6679             13.9027             3.4750              3.5162              2.7659                  2.7774
9000            17.9719             17.1553             4.5182              4.4461              3.6226                  3.4551
10000           24.1585             23.3492             5.7925              5.6478              4.3777                  4.3183
11000           31.2051             30.9069             7.1390              6.9495              5.3413                  5.1997
12000           36.3706             36.7200             8.7419              8.7689              6.1326                  6.0408
13000           46.6502             47.9578             11.0075             10.5646             7.1778                  7.0418
14000           54.3564             54.6746             12.7902             12.5506             8.3456                  8.2459
